event_id,date,date_precision,event_title,event_type,narrative_lines,narrative_line_names,importance,importance_score_1_to_5,related_entities,related_locations,source_count,sources,article_ids,likely_primary_source,evidence_summary,key_quote_or_summary,source_file,review_status
EVT-0008,1993-02-02,day,LACK OF DETAILS MARS GOVERNMENT INTENTIONS,cross_source_story,2,环境冲突线,medium,3,Government,,2,All News Today; Homeland Illumination,152;681,Homeland Illumination,"In a glitzy press conference late last year President Luis Araullo announced a historic set of tax incentives intended to bring foreign investment to Kronos under the guise creating jobs, providing ch","In a glitzy press conference late last year President Luis Araullo announced a historic set of tax incentives intended to bring foreign investment to Kronos under the guise creating jobs, providing ch",narrative_line_2_环境冲突线.csv,auto_clustered
ANCHOR-01,1993-03-12,day,政府与 GAStech 签署 Tiskele 气田开发协议,anchor_event,1,商业利益线,high,5,GAStech|Government|Sten Sanjorge|Abila,Abila,1,Kronos Star,666,Kronos Star,奠定 GAStech 在 Kronos 的合法经营基础与政府深度绑定,President Araullo announced signing of an agreement... GAStech was awarded exclusive rights to drill... 50% tax levied on new oil and gas exploration could yield in excess of $1 billion,anchor_events.csv,curated
EVT-0010,1993-03-14,day,The strikes of government treat international GAStech,cross_source_story,1,商业利益线,medium,3,GAStech|Government|Sten Sanjorge|Tethys,Tethys,2,The Truth; Worldwise,114;795,Worldwise,"President Araullo today announced the signature of an agreement between his government and GAStech Tethys-based international for the development of the gas layers of curve of Tiskele. GAStech, under ","President Araullo today announced the signature of an agreement between his government and GAStech Tethys-based international for the development of the gas layers of curve of Tiskele. GAStech, under ",narrative_line_1_商业利益线.csv,auto_clustered
EVT-0010,1993-03-14,day,The strikes of government treat international GAStech,cross_source_story,2,环境冲突线,medium,3,GAStech|Government|Sten Sanjorge|Tethys,Tethys,2,The Truth; Worldwise,114;795,Worldwise,"President Araullo today announced the signature of an agreement between his government and GAStech Tethys-based international for the development of the gas layers of curve of Tiskele. GAStech, under ","President Araullo today announced the signature of an agreement between his government and GAStech Tethys-based international for the development of the gas layers of curve of Tiskele. GAStech, under ",narrative_line_2_环境冲突线.csv,auto_clustered
EVT-0013,1994-02-18,day,"THE PROMINENT BUSINESS, CIVIC LEADER DIES IN 65",cross_source_story,2,环境冲突线,medium,3,GAStech|Sten Sanjorge|Tethys|Centrum,Tethys|Centrum,5,News Online Today; The General Post; The Light of Truth; The Tulip; Who What News,137;198;3;478;722,The General Post,"after four years of health that diminishes that they follow an important heart attac, Sten Sanjorge Sr. died Friday. Mr. Sanjorge, 65, of Centrum, Tethys was president emeritus of international of GAS","after four years of health that diminishes that they follow an important heart attac, Sten Sanjorge Sr. died Friday. Mr. Sanjorge, 65, of Centrum, Tethys was president emeritus of international of GAS",narrative_line_2_环境冲突线.csv,auto_clustered
EVT-0016,1995-03-30,day,DRILLING TECHNIQUE BANNED IN TETHYS,cross_source_story,2,环境冲突线,medium,3,GAStech|Government|Tethys|Sten Sanjorge,Tethys,3,News Online Today; The World; Who What News,111;153;314,News Online Today,GAStech International's Hyper Acidic Substrate Removal (HASR) has officially been banned by the Tethys government due to the high probability of water contamination.,GAStech International's Hyper Acidic Substrate Removal (HASR) has officially been banned by the Tethys government due to the high probability of water contamination.,narrative_line_2_环境冲突线.csv,auto_clustered
EVT-0017,1995-04-01,day,TECHNIQUE THAT IT PERFORATES PROHIBITED IN TETHYS,cross_source_story,2,环境冲突线,medium,3,GAStech|Government|Sten Sanjorge|Tethys,Tethys,2,The General Post; The Tulip,586;97,The General Post,The international hyperactive acid retirement of the substratum of GAStech (HASR) has been prohibited officially by the government of Tethys due to the high probability of the contamination of the wat,The international hyperactive acid retirement of the substratum of GAStech (HASR) has been prohibited officially by the government of Tethys due to the high probability of the contamination of the wat,narrative_line_2_环境冲突线.csv,auto_clustered
EVT-0021,1995-11-21,day,Araullo Announces New Hospital Construction,cross_source_story,2,环境冲突线,medium,3,Government|Abila,Abila,2,International News; Kronos Star,421;547,Kronos Star,"President Araullo announced today that his government is planning the construction of a new, modern Abila General Hospital. The old Abila General Hospital, built in 1930, has outdated health care faci","President Araullo announced today that his government is planning the construction of a new, modern Abila General Hospital. The old Abila General Hospital, built in 1930, has outdated health care faci",narrative_line_2_环境冲突线.csv,auto_clustered
EVT-0022,1995-11-22,day,Araullo Announces New Hospital Construction,cross_source_story,2,环境冲突线,medium,3,Government|Abila,Abila,2,News Online Today; Worldwise,312;98,News Online Today,"President Araullo announced today that his government is planning the construction of a new, modern Abila General Hospital. The old Abila General Hospital, built in 1930, has outdated health care faci","President Araullo announced today that his government is planning the construction of a new, modern Abila General Hospital. The old Abila General Hospital, built in 1930, has outdated health care faci",narrative_line_2_环境冲突线.csv,auto_clustered
EVT-0025,1996-07-08,day,GASTECH CHANGES OF POSITION THE CENTRUM TO KRONOS,cross_source_story,2,环境冲突线,medium,3,GAStech|Tethys|Government|Centrum,Tethys|Centrum,3,News Online Today; The General Post; The Light of Truth,120;671;825,The General Post,International GAStech has changed of position its center of Tethys to the small Mediterranean island of Kronos and to the extensive deposits of the gas underneath the Earth. The recent loads of contam,International GAStech has changed of position its center of Tethys to the small Mediterranean island of Kronos and to the extensive deposits of the gas underneath the Earth. The recent loads of contam,narrative_line_2_环境冲突线.csv,auto_clustered
EVT-0026,1997-04-23,day,POSSIBLE CONTAMINATION IN ELODIS,cross_source_story,2,环境冲突线,medium,3,GAStech|Government|Elodis|Abila,Elodis|Abila,2,Central Bulletin; The Abila Post,136;782,Central Bulletin,"About 25 km West of Abila is the small rural township of Elodis, situated on the Tiskele River. Roughly 20 km upstream is the Tiskele Bend site operated by GAStech International on government-owned la","About 25 km West of Abila is the small rural township of Elodis, situated on the Tiskele River. Roughly 20 km upstream is the Tiskele Bend site operated by GAStech International on government-owned la",narrative_line_2_环境冲突线.csv,auto_clustered
EVT-0027,1997-04-24,day,POSSIBLE CONTAMINATION IN ELODIS,cross_source_story,2,环境冲突线,medium,3,GAStech|Government|Elodis|Abila,Elodis|Abila,2,Athena Speaks; News Online Today,545;652,Athena Speaks,"Approximately 25 kilometers in the west of Abila are the small rural suburbs of Elodis, located on the river of Tiskele. Roughly 20 kilometers of ascending are the site of curve of Tiskele actuated by","Approximately 25 kilometers in the west of Abila are the small rural suburbs of Elodis, located on the river of Tiskele. Roughly 20 kilometers of ascending are the site of curve of Tiskele actuated by",narrative_line_2_环境冲突线.csv,auto_clustered
EVT-0028,1997-04-25,day,POSSIBLE POLLUTION IN ELODIS,cross_source_story,2,环境冲突线,medium,3,GAStech|Government|Elodis|Abila,Elodis|Abila,2,News Desk; The Explainer,60;731,News Desk,"Approximately 25 km at west of Abila are the small rural municipality of Elodis, to the river Tiskele located. Roughly speaking 20 km are upstream the place of bending Tiskele which is put by GAStech ","Approximately 25 km at west of Abila are the small rural municipality of Elodis, to the river Tiskele located. Roughly speaking 20 km are upstream the place of bending Tiskele which is put by GAStech ",narrative_line_2_环境冲突线.csv,auto_clustered
EVT-0029,1997-10-15,day,GOVERNMENT CITES 'MINOR' CONTAMINATION NEAR ELODIS,cross_source_story,2,环境冲突线,medium,3,GAStech|Government|Elodis,Elodis,2,News Online Today; The Abila Post,186;304,The Abila Post,After continued complaints and appeals from the people of Elodis government officials acknowledge minor contamination in and around the rural township in a report on their investigation into the towns,After continued complaints and appeals from the people of Elodis government officials acknowledge minor contamination in and around the rural township in a report on their investigation into the towns,narrative_line_2_环境冲突线.csv,auto_clustered
EVT-0030,1997-10-16,day,GOVERNMENT CITES 'MINOR' CONTAMINATION NEAR ELODIS,cross_source_story,2,环境冲突线,medium,3,GAStech|Government|Elodis,Elodis,2,Central Bulletin; The Explainer,151;703,Central Bulletin,After continued complaints and appeals from the people of Elodis government officials acknowledge minor contamination in and around the rural township in a report on their investigation into the towns,After continued complaints and appeals from the people of Elodis government officials acknowledge minor contamination in and around the rural township in a report on their investigation into the towns,narrative_line_2_环境冲突线.csv,auto_clustered
ANCHOR-02,1998-03-19,day,Elodis 环境污染系列报道启动,anchor_event,2,环境冲突线,high,5,GAStech|Elodis|Henk Bodrogi|Government,Elodis,1,Homeland Illumination,69,Homeland Illumination,揭示 GAStech 运营与 Elodis 儿童患病、农作物减产之间的关联,"After a couple of harvests, we saw a decline... when the kids started getting sick... The change turned out to be GAStech International",anchor_events.csv,curated
EVT-0032,1998-03-20,day,"ELODIS, KRONOS:  A TOWN IN NEED, Part One",cross_source_story,2,环境冲突线,medium,3,GAStech|Sten Sanjorge|Elodis|Government|Henk Bodrogi|Tethys,Elodis|Tethys,3,All News Today; News Online Today; The Orb,154;342;531,All News Today,"NOTE: This article is the first in a series, reprinted with permission from the Homeland Illumination. This article is the first installment of a three-part series addressing the growing problem of on","NOTE: This article is the first in a series, reprinted with permission from the Homeland Illumination. This article is the first installment of a three-part series addressing the growing problem of on",narrative_line_2_环境冲突线.csv,auto_clustered
EVT-0033,1998-03-21,day,"ELODIS, KRONOS:  A CITY IN the NECESSITY, part one",cross_source_story,2,环境冲突线,medium,3,GAStech|Government|Sten Sanjorge|Henk Bodrogi|Elodis|Tethys,Elodis|Tethys,2,Daily Pegasus; The Wrap,317;448,Daily Pegasus,"This article is the first installation of a series of three parts that deals with the problem every greater time an anguish of the community, the criminal fact of the government, and the alarming infl","This article is the first installation of a series of three parts that deals with the problem every greater time an anguish of the community, the criminal fact of the government, and the alarming infl",narrative_line_2_环境冲突线.csv,auto_clustered
EVT-0033,1998-03-21,day,"ELODIS, KRONOS:  A CITY IN the NECESSITY, part one",cross_source_story,3,组织对抗线,medium,3,GAStech|Government|Sten Sanjorge|Henk Bodrogi|Elodis|Tethys,Elodis|Tethys,2,Daily Pegasus; The Wrap,317;448,Daily Pegasus,"This article is the first installation of a series of three parts that deals with the problem every greater time an anguish of the community, the criminal fact of the government, and the alarming infl","This article is the first installation of a series of three parts that deals with the problem every greater time an anguish of the community, the criminal fact of the government, and the alarming infl",narrative_line_3_组织对抗线.csv,auto_clustered
EVT-0034,1998-04-26,day,"ELODIS, KRONOS:  HELP FROM AN UNEXPECTED SOURCE Part Two",cross_source_story,2,环境冲突线,medium,3,GAStech|Government|Henk Bodrogi|Elodis|Sten Sanjorge,Elodis,2,News Online Today; The Wrap,183;4,News Online Today,"NOTE: This article is the second in a series, reprinted with permission from the Homeland Illumination. Bodrogi has farmed soybeans his entire life, as did his father and their fathers. ""We've worked ","NOTE: This article is the second in a series, reprinted with permission from the Homeland Illumination. Bodrogi has farmed soybeans his entire life, as did his father and their fathers. ""We've worked ",narrative_line_2_环境冲突线.csv,auto_clustered
EVT-0035,1998-04-27,day,"ELODIS, KRONOS:  AID of one divides two of the SOURCE UNEXPECTED",cross_source_story,1,商业利益线,medium,3,GAStech|Government|Sten Sanjorge|Henk Bodrogi|Elodis,Elodis,2,Daily Pegasus; The Orb,647;741,Daily Pegasus,"This article is the second installation of a series of three parts that deals with the problem every greater time an anguish of the community, the criminal fact of the government, and the alarming inf","This article is the second installation of a series of three parts that deals with the problem every greater time an anguish of the community, the criminal fact of the government, and the alarming inf",narrative_line_1_商业利益线.csv,auto_clustered
EVT-0035,1998-04-27,day,"ELODIS, KRONOS:  AID of one divides two of the SOURCE UNEXPECTED",cross_source_story,2,环境冲突线,medium,3,GAStech|Government|Sten Sanjorge|Henk Bodrogi|Elodis,Elodis,2,Daily Pegasus; The Orb,647;741,Daily Pegasus,"This article is the second installation of a series of three parts that deals with the problem every greater time an anguish of the community, the criminal fact of the government, and the alarming inf","This article is the second installation of a series of three parts that deals with the problem every greater time an anguish of the community, the criminal fact of the government, and the alarming inf",narrative_line_2_环境冲突线.csv,auto_clustered
EVT-0035,1998-04-27,day,"ELODIS, KRONOS:  AID of one divides two of the SOURCE UNEXPECTED",cross_source_story,3,组织对抗线,medium,3,GAStech|Government|Sten Sanjorge|Henk Bodrogi|Elodis,Elodis,2,Daily Pegasus; The Orb,647;741,Daily Pegasus,"This article is the second installation of a series of three parts that deals with the problem every greater time an anguish of the community, the criminal fact of the government, and the alarming inf","This article is the second installation of a series of three parts that deals with the problem every greater time an anguish of the community, the criminal fact of the government, and the alarming inf",narrative_line_3_组织对抗线.csv,auto_clustered
EVT-0036,1998-05-15,day,"ELODIS, KRONOS: WILL THE GOVERNMENT RESPOND IN TIME? Part Three",cross_source_story,2,环境冲突线,medium,3,Government|Elodis|Henk Bodrogi|Abila,Elodis|Abila,3,All News Today; Homeland Illumination; News Online Today,237;35;79,Homeland Illumination,"This article is the last installment of a three-part series addressing the growing problem of one community's anguish, government malfeasance, and the alarming influence of multinational corporations ","This article is the last installment of a three-part series addressing the growing problem of one community's anguish, government malfeasance, and the alarming influence of multinational corporations ",narrative_line_2_环境冲突线.csv,auto_clustered
EVT-0037,1998-05-16,day,ELODIS PUBLIC HEALTH FACT SHEET,cross_source_story,2,环境冲突线,medium,3,Elodis,Elodis,2,All News Today; News Online Today,16;617,All News Today,"At the request of the citizens of Elodis, Wellness for All has published a report on the impact of gas drilling operations on water quality and public health. Comparative data prior to 1998 was obtain","At the request of the citizens of Elodis, Wellness for All has published a report on the impact of gas drilling operations on water quality and public health. Comparative data prior to 1998 was obtain",narrative_line_2_环境冲突线.csv,auto_clustered
EVT-0038,1998-05-17,day,"ELODIS, KRONOS:  THE GOVERNMENT WILL RESPOND IN TIME? Part three",cross_source_story,1,商业利益线,medium,3,Government|Henk Bodrogi|Elodis|Abila,Elodis|Abila,3,Daily Pegasus; The Orb; The Wrap,264;622;814,Daily Pegasus,"This article is the installation passed of a series of three parts that deals with the problem every greater time an anguish of the community, the criminal fact of the government, and the alarming inf","This article is the installation passed of a series of three parts that deals with the problem every greater time an anguish of the community, the criminal fact of the government, and the alarming inf",narrative_line_1_商业利益线.csv,auto_clustered
EVT-0038,1998-05-17,day,"ELODIS, KRONOS:  THE GOVERNMENT WILL RESPOND IN TIME? Part three",cross_source_story,2,环境冲突线,medium,3,Government|Henk Bodrogi|Elodis|Abila,Elodis|Abila,3,Daily Pegasus; The Orb; The Wrap,264;622;814,Daily Pegasus,"This article is the installation passed of a series of three parts that deals with the problem every greater time an anguish of the community, the criminal fact of the government, and the alarming inf","This article is the installation passed of a series of three parts that deals with the problem every greater time an anguish of the community, the criminal fact of the government, and the alarming inf",narrative_line_2_环境冲突线.csv,auto_clustered
EVT-0038,1998-05-17,day,"ELODIS, KRONOS:  THE GOVERNMENT WILL RESPOND IN TIME? Part three",cross_source_story,3,组织对抗线,medium,3,Government|Henk Bodrogi|Elodis|Abila,Elodis|Abila,3,Daily Pegasus; The Orb; The Wrap,264;622;814,Daily Pegasus,"This article is the installation passed of a series of three parts that deals with the problem every greater time an anguish of the community, the criminal fact of the government, and the alarming inf","This article is the installation passed of a series of three parts that deals with the problem every greater time an anguish of the community, the criminal fact of the government, and the alarming inf",narrative_line_3_组织对抗线.csv,auto_clustered
EVT-0039,1998-08-21,day,OF TEN YEARS OLD  OF THE GIRL OF ELODIS OF THE  POISONING DIES,cross_source_story,2,环境冲突线,medium,3,GAStech|Government|Elodis|Tethys,Elodis|Tethys,2,Daily Pegasus; The Wrap,409;791,Daily Pegasus,"Of ten years - old Julian Vann died yesterday in the evening, surrounded by their family and friends. The cause of the death was leukemia due to the poison of the benzene. Julian he had been ill by on","Of ten years - old Julian Vann died yesterday in the evening, surrounded by their family and friends. The cause of the death was leukemia due to the poison of the benzene. Julian he had been ill by on",narrative_line_2_环境冲突线.csv,auto_clustered
EVT-0040,1998-11-10,day,The ministry of health examines the complaints of pollution,cross_source_story,2,环境冲突线,medium,3,Elodis|Abila|Tethys,Elodis|Abila|Tethys,3,The Guide; The Truth; Worldwise,166;330;5,The Truth,The minister of health Cesare Nespola announced today to that its organization require of abnormal health questions in areas researches those drilling sites would surround of bending Tiskele. Minister,The minister of health Cesare Nespola announced today to that its organization require of abnormal health questions in areas researches those drilling sites would surround of bending Tiskele. Minister,narrative_line_2_环境冲突线.csv,auto_clustered
EVT-0041,1998-11-14,day,HEALTH FOR ALL (WFA) BURSTS GASTECH AND KRONOS GOVT,cross_source_story,2,环境冲突线,medium,3,GAStech|Government|Abila,Abila,4,News Online Today; The General Post; The Tulip; Who What News,206;316;574;694,The General Post,"The health group of the knowledge of the water, health for all (WFA), has condemned international GAStech and the government of Kronos. The WFA declaration demands the extensive contamination of the u","The health group of the knowledge of the water, health for all (WFA), has condemned international GAStech and the government of Kronos. The WFA declaration demands the extensive contamination of the u",narrative_line_2_环境冲突线.csv,auto_clustered
EVT-0042,1998-11-15,day,POK REPRESENTATIVES MEET WITH KRONOS MINISTER OF HEALTH,cross_source_story,2,环境冲突线,medium,3,POK|Elodis|Government|Henk Bodrogi,Elodis,3,All News Today; News Online Today; The Wrap,408;420;779,All News Today,"Representatives from the social activist group Protectors of Kronos (POK) met earlier this week with Cesare Nespola, Minister of Health to discuss resolutions to the water contamination that has plagu","Representatives from the social activist group Protectors of Kronos (POK) met earlier this week with Cesare Nespola, Minister of Health to discuss resolutions to the water contamination that has plagu",narrative_line_2_环境冲突线.csv,auto_clustered
EVT-0042,1998-11-15,day,POK REPRESENTATIVES MEET WITH KRONOS MINISTER OF HEALTH,cross_source_story,3,组织对抗线,medium,3,POK|Elodis|Government|Henk Bodrogi,Elodis,3,All News Today; News Online Today; The Wrap,408;420;779,All News Today,"Representatives from the social activist group Protectors of Kronos (POK) met earlier this week with Cesare Nespola, Minister of Health to discuss resolutions to the water contamination that has plagu","Representatives from the social activist group Protectors of Kronos (POK) met earlier this week with Cesare Nespola, Minister of Health to discuss resolutions to the water contamination that has plagu",narrative_line_3_组织对抗线.csv,auto_clustered
EVT-0043,1998-11-15,day,WELLNESS FOR ALL ISSUES STATEMENT ON ELODIS,cross_source_story,2,环境冲突线,medium,3,GAStech|Government|Elodis|POK|Tethys,Elodis|Tethys,3,News Online Today; The Abila Post; The Light of Truth,619;68;823,The Abila Post,The international healthy water awareness group Wellness for All (WFA) have performed testing on the local water in Elodis finding high level of hazardous materials in residential water wells. In a st,The international healthy water awareness group Wellness for All (WFA) have performed testing on the local water in Elodis finding high level of hazardous materials in residential water wells. In a st,narrative_line_2_环境冲突线.csv,auto_clustered
EVT-0043,1998-11-15,day,WELLNESS FOR ALL ISSUES STATEMENT ON ELODIS,cross_source_story,3,组织对抗线,medium,3,GAStech|Government|Elodis|POK|Tethys,Elodis|Tethys,3,News Online Today; The Abila Post; The Light of Truth,619;68;823,The Abila Post,The international healthy water awareness group Wellness for All (WFA) have performed testing on the local water in Elodis finding high level of hazardous materials in residential water wells. In a st,The international healthy water awareness group Wellness for All (WFA) have performed testing on the local water in Elodis finding high level of hazardous materials in residential water wells. In a st,narrative_line_3_组织对抗线.csv,auto_clustered
EVT-0044,1998-11-16,day,MEETING OF THE REPRESENTATIVES OF POK WITH THE MINISTER OF KRONOS OF THE HEALTH,cross_source_story,2,环境冲突线,medium,3,POK|Government|Henk Bodrogi|Elodis,Elodis,2,Daily Pegasus; The Orb,211;628,Daily Pegasus,"Rhe representatives of the social activist group the protectors of Kronos (POK) solved at the beginning of this week with Will stop Nespola, minister of the health to discuss resolutions to the contam","Rhe representatives of the social activist group the protectors of Kronos (POK) solved at the beginning of this week with Will stop Nespola, minister of the health to discuss resolutions to the contam",narrative_line_2_环境冲突线.csv,auto_clustered
EVT-0044,1998-11-16,day,MEETING OF THE REPRESENTATIVES OF POK WITH THE MINISTER OF KRONOS OF THE HEALTH,cross_source_story,3,组织对抗线,medium,3,POK|Government|Henk Bodrogi|Elodis,Elodis,2,Daily Pegasus; The Orb,211;628,Daily Pegasus,"Rhe representatives of the social activist group the protectors of Kronos (POK) solved at the beginning of this week with Will stop Nespola, minister of the health to discuss resolutions to the contam","Rhe representatives of the social activist group the protectors of Kronos (POK) solved at the beginning of this week with Will stop Nespola, minister of the health to discuss resolutions to the contam",narrative_line_3_组织对抗线.csv,auto_clustered
EVT-0045,1998-11-17,day,HEALTH FOR ALL THE REPORT/RATIO OF QUESTIONS ABOUT ELODIS,cross_source_story,2,环境冲突线,medium,3,GAStech|Government|Elodis|Tethys,Elodis|Tethys,3,Athena Speaks; News Desk; The Explainer,442;519;605,Athena Speaks,The international health of group of conscience of water for all (WFA) carried out the test on local water in finding Elodis on high level of dangerous materials in the residential water wells. In a r,The international health of group of conscience of water for all (WFA) carried out the test on local water in finding Elodis on high level of dangerous materials in the residential water wells. In a r,narrative_line_2_环境冲突线.csv,auto_clustered
EVT-0046,1999-02-19,day,GASTECH REPORTS RECORD EARNINGS,cross_source_story,1,商业利益线,medium,3,GAStech|Sten Sanjorge,,2,News Online Today; Who What News,449;702,News Online Today,"GAStech International, as projected earlier this month, reported record fiscal 1998 profit of $110 million. ""GAStech International has delivered another year of superior financial performance achieved","GAStech International, as projected earlier this month, reported record fiscal 1998 profit of $110 million. ""GAStech International has delivered another year of superior financial performance achieved",narrative_line_1_商业利益线.csv,auto_clustered
EVT-0047,1999-02-20,day,GAINS OF THE FILE OF GASTECH INFORMATION,cross_source_story,2,环境冲突线,medium,3,GAStech|Government|Sten Sanjorge,,3,The General Post; The Light of Truth; The Tulip,284;319;706,The General Post,"GAStech international, according to projected the previous east month, disclosed 1998 benefits fiscal of registry of $110 million. GAStech published a previous inspection the 4 of February of the gain","GAStech international, according to projected the previous east month, disclosed 1998 benefits fiscal of registry of $110 million. GAStech published a previous inspection the 4 of February of the gain",narrative_line_2_环境冲突线.csv,auto_clustered
EVT-0048,1999-07-04,day,"Minister Nespola Champions Added Taxes on Oil, Gas Development",cross_source_story,1,商业利益线,medium,3,Abila,Abila,3,International News; News Online Today; The Guide,327;640;821,News Online Today,Minister of Health Cesare Nespola announced that he would sponsor a bill to increase taxes on oil and gas development by an additional 10%. The raise in taxes on foreign gas and oil development is ear,Minister of Health Cesare Nespola announced that he would sponsor a bill to increase taxes on oil and gas development by an additional 10%. The raise in taxes on foreign gas and oil development is ear,narrative_line_1_商业利益线.csv,auto_clustered
